,MAKE,MODEL,TRIM_LEVEL,BODY_TYPE,FUEL_TYPE,TRANSMISSION,NUMBER_OF_DOORS,DRIVEN_WHEELS,ENGINE_SIZE,POWER_TRAIN_TYPE,BATTERY_CAPACITY_KWH,MAX_POWER_HP,MAX_POWER_KW,SECONDARY_VERSION
900,Ford,Galaxy,Titanium,,EcoBlue,6Spd,5dr,,2.0 L,,,150PS,,
901,,HIGHLANDER,,,,,,,,HYBRID,,,,
902,HONDA,CIVIC,COMFORT,hatchback,T-VTEC,manual,5 portes,FWD,1.0,,,,,
903,HONDA,CIVIC,EXECUTIVE,saloon,I-DTEC,automatic,4 dr,FWD,1.6,,,,,
904,,SPORTAGE,BUSINESS,,,,,2WD,1.6,,,,,
905,,SPORTAGE,GT-LINE,,,DCT,,2WD,1.6,,,,,
906,,SPORTAGE,,,,DCT,,,1.6,,,,,
907,HYUNDAI,ELANTRA,KLASS,saloon,MPI,manual,4 dr,FWD,1.6,,,,,
908,HYUNDAI,I10,ESSENCE,hatchback,unleaded,manual,5 portes,FWD,1.0,,,,,
909,HYUNDAI,I10,GO!,hatchback,unleaded,automatic,5 portes,FWD,1.0,,,,,
910,HYUNDAI,I20,KLASS,hatchback,TGDI,automatic,5 portes,FWD,1.0,MHEV,,,74KW,
911,HYUNDAI,I20,PREMIUM SE NAV,hatchback,T-GDI,manual,5 portes,FWD,1.0,,,120PS,,
912,HYUNDAI,I20,PREMIUM SE NAV,hatchback,unleaded,automatic,5 portes,FWD,1.4,,,100PS,,
913,HYUNDAI,I30,COMFORT,estate,CRDI,manual,5 portes,FWD,1.6,,,136HP,,
914,HYUNDAI,I30,COMFORT,hatchback,CRDI,manual,5 portes,FWD,1.6,,,110HP,,
915,HYUNDAI,I30,N LINE,hatchback,T-GDI,automatic,5 portes,FWD,1.5,MHEV,,,,
916,HYUNDAI,I30,N-LINE X,estate,CRDI,automatic,5 portes,FWD,1.6,MHEV,,,100KW,
917,HYUNDAI,I30,PREMIUM,estate,CRDI,manual,5 portes,FWD,1.6,MHEV,,136PS,,
918,HYUNDAI,I30,STYLE,hatchback,TGDI,manual,5 portes,FWD,1.4,,,,,
919,HYUNDAI,I30,TECNO FASTBACK,hatchback,TGDI,manual,5 portes,FWD,1.4,,,,,
920,HYUNDAI,I40,BUSINESS,estate,CRDI,manual,5 portes,FWD,1.6,,,136HP,,
921,HYUNDAI,IONIQ 5,Energy,sports utility vehicle,electric,automatic,5 portes,RWD,,BEV,73KWH,,160KW,
922,HYUNDAI,IONIQ 5,ENERGY,sports utility vehicle,electric,automatic,5 portes,RWD,,BEV,73KWH,,160KW,
923,HYUNDAI,IONIQ 5,ULTIMATE,sports utility vehicle,electric,automatic,5 portes,AWD,,BEV,73KWH,,,
924,HYUNDAI,IONIQ 5,Ultimate,sports utility vehicle,electric,automatic,5 portes,RWD,,BEV,77 kWh,,,
925,HYUNDAI,IONIQ,INTUITIVE,hatchback,electric,automatic,5 portes,FWD,1.6,PHEV,,,,
926,HYUNDAI,IONIQ,INTUITIVE,hatchback,ELECTRIC,automatic,5 portes,FWD,,BEV,39KWH,,,
927,HYUNDAI,Ioniq,Creative,hatchback,unleaded,automatic,5 portes,FWD,,HEV,,,,
928,HYUNDAI,Ioniq,Intuitive,hatchback,unleaded,manual,5 portes,FWD,,HEV,,,,
929,HYUNDAI,KONA,EXECUTIVE,sports utility vehicle,unleaded,automatic,5 portes,FWD,1.6,HEV,,,,
930,HYUNDAI,KONA,TECNO RED,,TGDI,,,,1.0,,,120CV,,
931,HYUNDAI,KONA,N LINE,sports utility vehicle,TGDI,manual,5 portes,FWD,1.0,MHEV,,,,
932,HYUNDAI,KONA,N PERFORMANCE,sports utility vehicle,T-GDI,automatic,5 portes,FWD,2.0,,,,,
933,HYUNDAI,KONA,Premium SE,sports utility vehicle,Electric,automatic,5 portes,FWD,,BEV,64 kWh,,,
934,HYUNDAI,KONA,PREMIUM,sports utility vehicle,T-GDI,manual,5 portes,FWD,1.0,,,,,
935,HYUNDAI,KONA,SE,sports utility vehicle,T-GDI,manual,5 portes,FWD,1.0,,,,,
936,HYUNDAI,Kona,N Performance,sports utility vehicle,T-GDI,automatic,5 portes,FWD,2.0,,,280cv,,
937,HYUNDAI,KONA,STYLE,sports utility vehicle,TGDI,manual,5 portes,AWD,1.6,,,176CV,,
938,HYUNDAI,Kona,Xline+,sports utility vehicle,unleaded,automatic,5 portes,FWD,1.6,HEV,,,,
939,HYUNDAI,SANTA FE,ULTIMATE,sports utility vehicle,T-GDI,automatic,5 portes,AWD,1.6,HEV,,,,
940,HYUNDAI,STARIA,MAXX,MPV,CRDI,automatic,5 portes,FWD,2.2,,,,,
941,HYUNDAI,Santa Fe,Klass,sports utility vehicle,CRDi,automatic,5 portes,FWD,2.2,,,,,
942,HYUNDAI,Santa Fe,Maxx,sports utility vehicle,TGDi,automatic,5 portes,FWD,1.6,HEV,,,,
943,HYUNDAI,Santa Fe,Style,sports utility vehicle,CRDi,automatic,5 portes,AWD,2.2,,,,,
944,HYUNDAI,TUCSON,ESSENCE,sports utility vehicle,CRDI,manual,5 portes,FWD,1.6,,,,85KW,
945,HYUNDAI,TUCSON,EXELLENCE,sports utility vehicle,CRDI,manual,5 portes,FWD,1.6,,,,,
946,HYUNDAI,TUCSON,KLASS,sports utility vehicle,CRDI,manual,5 portes,FWD,1.7,,,,85KW,
947,HYUNDAI,TUCSON,MAXX,sports utility vehicle,TGDI,manual,5 portes,FWD,1.6,MHEV,,,110KW,
948,HYUNDAI,TUCSON,N-LINE,sports utility vehicle,TGDI,automatic,5 portes,FWD,1.6,MHEV,,,110KW,
949,HYUNDAI,TUCSON,SPORT EDITION,sports utility vehicle,T-GDI,manual,5 portes,FWD,1.6,,,177PS,,
950,HYUNDAI,TUCSON,STYLE,sports utility vehicle,CRDI,manual,5 portes,FWD,1.6,MHEV,,,100KW,
951,HYUNDAI,TUCSON,XLINE,sports utility vehicle,CRDI,automatic,5 portes,FWD,1.6,,,,100KW,
952,HYUNDAI,Tucson,Classic,sports utility vehicle,CRDi,manual,5 portes,AWD,2.0,,,136cv,,
953,HYUNDAI,Tucson,Exellence,sports utility vehicle,CRDi,manual,5 portes,FWD,1.6,MHEV,,136cv,,
954,HYUNDAI,Tucson,Exellence,sports utility vehicle,T-GDI,automatic,5 portes,FWD,1.6,MHEV,,150cv,,
955,HYUNDAI,Tucson,Style,sports utility vehicle,CRDI,automatic,5 portes,AWD,2.0,MHEV,,,136kW,
956,HYUNDAI,Tucson,Xprime,sports utility vehicle,CRDi,manual,5 portes,AWD,1.6,,,136cv,,
957,HYUNDAI,i10,Style,hatchback,unleaded,automatic,5 portes,FWD,1.2,,,,,
958,HYUNDAI,i20,Klass,hatchback,TGDI,manual,5 portes,FWD,1.0,,,100CV,74kW,
959,HYUNDAI,i20,Premium Nav,hatchback,T-GDi,manual,5 portes,FWD,1.0,,,100ps,,
960,HYUNDAI,i20,Style Lux,hatchback,TGDI,automatic,5 portes,FWD,1.0,MHEV,,120CV,88kW,
961,HYUNDAI,i20,Tecno,hatchback,TGDI,manual,5 portes,FWD,1.0,,,100CV,74kW,
962,HYUNDAI,i30,Business,hatchback,CRDi,manual,5 portes,FWD,1.6,,,136cv,,
963,HYUNDAI,i30,Go!,hatchback,CRDi,manual,5 portes,FWD,1.6,,,110cv,,
964,HYUNDAI,i30,Premium,hatchback,CRDi,automatic,5 portes,FWD,1.6,,,115PS,,
965,Hyundai,KONA,Intuitive,,T-GDi,,,,1.0,Hybrid,,,,
966,Bmw,I3,,Hatchback,,Auto,5dr,,,,42kWh,,135kW,
967,INFINITI,Q50,BUSINESS EXECUTIVE,saloon,unleaded,automatic,4 dr,RWD,3.5,HEV,,,,
968,INFINITI,Q70,SPORT TECH,saloon,unleaded,automatic,4 dr,RWD,3.7,,,,,
969,INFINITI,QX70,GT,sports utility vehicle,unleaded,automatic,5 portes,AWD,3.7,,,,,
970,,Ioniq,Executive,,Electric,,,,,,,136 ch,,
971,ISUZU,D-MAX,SATELLITE,pick-up,diesel,manual,2 door,AWD,1.9,,,,,
972,ISUZU,D-MAX,Satellite,pick-up,diesel,manual,2 door,RWD,1.9,,,,,
973,ISUZU,N-SERIES,,chassis cab,diesel,manual,2 door,RWD,3.0,,,,,
974,IVECO,DAILY,,chassis cab,diesel,manual,2 door,RWD,2.3,,,,,
975,IVECO,DAILY,,chassis cab,TD,manual,4 dr,RWD,2.3,,,,,
976,IVECO,DAILY,,chassis cab,diesel,automatic,2 door,RWD,2.3,,,,,
977,IVECO,DAILY,LEAF,chassis cab,diesel,manual,2 door,RWD,3.0,,,,,
978,IVECO,DAILY,,chassis cab,diesel,manual,2 door,RWD,3.0,,,,,
979,IVECO,DAILY,,chassis cab,diesel,automatic,2 door,RWD,3.0,,,,,
980,IVECO,DAILY,,chassis cab,diesel,automatic,4 dr,RWD,3.0,,,,,
981,IVECO,DAILY,,chassis cab,electric,automatic,2 door,RWD,,BEV,111KWH,,,
982,IVECO,DAILY,,chassis cab,electric,automatic,2 door,RWD,,BEV,37KWH,,,
983,IVECO,DAILY,,panel van,diesel,automatic,4 dr,RWD,3.0,,,,,
984,IVECO,DAILY,,panel van,electric,automatic,4 dr,RWD,,BEV,74KWH,,,
985,IVECO,DAILY,,panel van,CNG,automatic,4 dr,RWD,3.0,,,,,
986,IVECO,DAILY,,panel van,diesel,automatic,4 dr,RWD,,,,,,
987,IVECO,DAILY,,chassis cab,diesel,manual,2 door,RWD,3.0,,,,,
988,IVECO,DAILY,,panel van,diesel,automatic,4 dr,RWD,3.0,,,,,
989,IVECO,DAILY,,panel van,diesel,manual,4 dr,RWD,2.3,,,,,
990,IVECO,DAILY,,panel van,diesel,automatic,4 dr,RWD,2.3,,,,,
991,IVECO,DAILY,,panel van,diesel,automatic,4 dr,RWD,3.0,,,,,
992,IVECO,DAILY,,chassis cab,diesel,automatic,4 dr,RWD,3.0,,,,,
993,IVECO,DAILY,,chassis cab,diesel,manual,4 dr,RWD,3.0,,,,,
994,IVECO,DAILY,BLUE POWER,chassis cab,diesel,automatic,2 door,RWD,2.3,,,,,
995,IVECO,DAILY,BLUE POWER,chassis cab,natural gas,manual,2 door,RWD,3.0,,,,,
996,IVECO,DAILY,BLUE POWER,chassis cab,natural gas,manual,2 door,RWD,3.0,,,,,
997,IVECO,DAILY,BLUE P.,panel van,natural gas,manual,4 dr,RWD,3.0,,,,,
998,IVECO,DAILY,BSN PREMIUM,panel van,diesel,manual,4 dr,RWD,2.3,,,,,
999,IVECO,DAILY,BSN PREMIUM,panel van,diesel,manual,4 dr,RWD,3.0,,,,,
1000,IVECO,DAILY,BUSINESS,chassis cab,diesel,manual,4 dr,RWD,3.0,,,,,
1001,IVECO,DAILY,BUSINESS,chassis cab,electric,automatic,2 door,RWD,,BEV,74KWH,,,
1002,IVECO,DAILY,BUSINESS,drop side,diesel,manual,4 dr,RWD,3.0,,,,,
1003,IVECO,DAILY,BUSINESS,panel van,diesel,manual,4 dr,RWD,2.3,,,,,
1004,IVECO,DAILY,BUSINESS,panel van,diesel,manual,4 dr,RWD,3.0,,,,,
1005,IVECO,DAILY,BUSINESS,panel van,diesel,manual,4 dr,RWD,2.3,,,,,
1006,IVECO,DAILY,BUSINESS,panel van,diesel,manual,4 dr,RWD,2.3,,,,,
1007,IVECO,DAILY,BUSINESS,panel van,diesel,manual,4 dr,RWD,2.3,,,,,
1008,IVECO,DAILY,BUSINESS,panel van,electric,automatic,4 dr,RWD,,BEV,74KWH,,,
1009,IVECO,DAILY,,chassis cab,diesel,manual,2 door,RWD,3.0,,,,,
1010,IVECO,DAILY,,panel van,diesel,manual,4 dr,RWD,3.0,,,,,
1011,IVECO,DAILY,,chassis cab,CNG,automatic,2 door,RWD,,,,,,
1012,IVECO,DAILY,,chassis cab,CNG,manual,2 door,RWD,3.0,,,,,
1013,IVECO,DAILY,,panel van,diesel,manual,4 dr,AWD,,,,,,
1014,IVECO,DAILY,,chassis cab,TD,manual,2 door,RWD,2.3,,,,,
1015,IVECO,DAILY,,chassis cab,diesel,manual,2 door,RWD,2.3,,,,,
1016,IVECO,DAILY,REGIONAL,chassis cab,diesel,automatic,2 door,RWD,3.0,,,,,
1017,IVECO,DAILY,REG,drop side,diesel,automatic,4 dr,RWD,3.0,,,,,
1018,IVECO,DAILY,URBAN,chassis cab,diesel,automatic,2 door,RWD,3.0,,,,,
1019,IVECO,DAILY,URBAN,drop side,diesel,automatic,2 door,RWD,2.3,,,,,
1020,IVECO,DAILY,URBAN,drop side,diesel,automatic,2 door,RWD,2.3,,,,,
1021,IVECO,DAILY,URBAN,drop side,diesel,automatic,2 door,RWD,3.0,,,,,
1022,IVECO,DAILY,URBAN,panel van,diesel,automatic,4 dr,RWD,2.3,,,,,
1023,IVECO,Daily,,chassis cab,diesel,automatic,4 dr,RWD,,,,,,
1024,IVECO,Daily,,chassis cab,diesel,manual,2 door,RWD,,,,,,
1025,IVECO,Daily,,chassis cab,diesel,manual,2 door,RWD,,,,,,
1026,IVECO,Daily,,chassis cab,diesel,manual,2 door,RWD,,,,,,
1027,IVECO,Daily,,chassis cab,diesel,manual,2 door,RWD,,,,,,
1028,IVECO,Daily,,chassis cab,diesel,manual,2 door,RWD,,,,,,
1029,IVECO,Daily,,chassis cab,diesel,automatic,4 dr,RWD,,,,,,
1030,IVECO,Daily,,chassis cab,diesel,manual,2 door,RWD,,,,,,
1031,IVECO,Daily,,chassis cab,diesel,manual,4 dr,RWD,,,,,,
1032,IVECO,Daily,,chassis cab,diesel,manual,2 door,RWD,,,,,,
1033,IVECO,Daily,,chassis cab,diesel,manual,4 dr,RWD,,,,,,
1034,IVECO,Daily,,chassis cab,diesel,manual,4 dr,RWD,,,,,,
1035,IVECO,Daily,,chassis cab,diesel,automatic,2 door,RWD,,,,,,
1036,IVECO,Daily,,chassis cab,diesel,automatic,2 door,RWD,,,,,,
1037,IVECO,Daily,,chassis cab,diesel,automatic,2 door,RWD,,,,,,
1038,IVECO,Daily,,chassis cab,diesel,automatic,2 door,RWD,,,,,,
1039,IVECO,Daily,,chassis cab,diesel,manual,4 dr,RWD,,,,,,
1040,IVECO,Daily,,drop side,diesel,manual,2 door,RWD,,,,,,
1041,IVECO,Daily,,drop side,diesel,manual,2 door,RWD,,,,,,
1042,IVECO,Daily,,drop side,diesel,manual,2 door,RWD,,,,,,
1043,IVECO,Daily,,drop side,diesel,manual,4 dr,RWD,,,,,,
1044,IVECO,Daily,,drop side,diesel,manual,2 door,RWD,,,,,,
1045,IVECO,Daily,,drop side,diesel,manual,2 door,RWD,,,,,,
1046,IVECO,Daily,,drop side,diesel,automatic,2 door,RWD,,,,,,
1047,IVECO,Daily,,drop side,diesel,manual,2 door,RWD,,,,,,
1048,IVECO,Daily,,panel van,diesel,manual,4 dr,RWD,,,,,,
1049,IVECO,Daily,,panel van,diesel,manual,4 dr,RWD,,,,,,
1050,IVECO,Daily,,panel van,diesel,manual,4 dr,RWD,,,,,,
1051,IVECO,Daily,,panel van,diesel,manual,4 dr,RWD,,,,,,
1052,IVECO,Daily,,panel van,diesel,automatic,4 dr,RWD,,,,,,
1053,IVECO,Daily,,panel van,diesel,manual,4 dr,RWD,,,,,,
1054,IVECO,Daily,,panel van,diesel,manual,4 dr,RWD,,,,,,
1055,IVECO,Daily,,panel van,diesel,automatic,4 dr,RWD,,,,,,
1056,IVECO,Daily,,panel van,CNG,manual,4 dr,RWD,,,,,,
1057,IVECO,Daily,,tipper,diesel,automatic,2 door,RWD,,,,,,
1058,IVECO,Daily,,tipper,diesel,automatic,2 door,RWD,,,,,,
1059,IVECO,Daily,,tipper,diesel,manual,2 door,RWD,,,,,,
1060,IVECO,Daily,,tipper,diesel,automatic,4 dr,RWD,,,,,,
1061,IVECO,Daily,,tipper,diesel,manual,4 dr,RWD,,,,,,
1062,IVECO,Daily,,panel van,diesel,automatic,4 dr,RWD,2.3,,,,,
1063,IVECO,Daily,BLUE POWER,chassis cab,diesel,manual,4 dr,RWD,,,,,,
1064,IVECO,Daily,BLUE POWER,chassis cab,natural gas,automatic,2 door,RWD,,,,,,
1065,IVECO,Daily,Blue P.,tipper,natural gas,manual,2 door,RWD,,,,,,
1066,IVECO,Daily,Bsns Prem,chassis cab,diesel,manual,2 door,RWD,,,,,,
1067,IVECO,Daily,Busns Pr,chassis cab,diesel,manual,4 dr,RWD,,,,,,
1068,IVECO,Daily,Bsns Prem,chassis cab,diesel,manual,2 door,RWD,,,,,,
1069,IVECO,Daily,BUSINESS PREMIUM,chassis cab,natural gas,manual,2 door,RWD,,,,,,
1070,IVECO,Daily,Bsns Pr,panel van,diesel,manual,4 dr,RWD,,,,,,
1071,IVECO,Daily,Bsns,Crew Cab,diesel,manual,4 dr,RWD,,,,,,
1072,IVECO,Daily,Business,chassis cab,diesel,automatic,2 door,RWD,,,,,,
1073,IVECO,Daily,Business,chassis cab,electric,automatic,2 door,RWD,,BEV,111kWh,,,
1074,IVECO,Daily,Business,chassis cab,natural gas,manual,2 door,RWD,,,,,,
1075,IVECO,Daily,Business,chassis cab,natural gas,manual,2 door,RWD,,,,,,
1076,IVECO,Daily,Business,chassis cab,natural gas,manual,2 door,RWD,,,,,,
1077,IVECO,Daily,Business,chassis cab,natural gas,manual,2 door,RWD,,,,,,
1078,IVECO,Daily,Bsns,Crew Cab,diesel,manual,4 dr,RWD,,,,,,
1079,IVECO,Daily,Business,panel van,diesel,manual,4 dr,RWD,,,,,,
1080,IVECO,Daily,Business,panel van,diesel,manual,4 dr,RWD,,,,,,
1081,IVECO,Daily,Business,panel van,diesel,manual,4 dr,RWD,,,,,,
1082,IVECO,Daily,Business,panel van,diesel,manual,4 dr,RWD,,,,,,
1083,IVECO,Daily,Bsn,panel van,diesel,automatic,4 dr,RWD,,,,,,
1084,IVECO,Daily,Bsn,panel van,diesel,automatic,4 dr,RWD,,,,,,
1085,IVECO,Daily,Business,panel van,diesel,manual,4 dr,RWD,,,,,,
1086,IVECO,Daily,Busin,panel van,natural gas,automatic,4 dr,RWD,3.0,,,,,
1087,IVECO,Daily,Business,panel van,natural gas,manual,4 dr,RWD,,,,,,
1088,IVECO,Daily,,chassis cab,diesel,automatic,2 door,RWD,3.0,,,,,
1089,IVECO,Daily,,panel van,diesel,automatic,4 dr,RWD,3.0,,,,,
1090,IVECO,Daily,,panel van,CNG,manual,4 dr,RWD,,,,,,
1091,IVECO,Daily,CREW,panel van,diesel,manual,5 portes,RWD,,,,,,
1092,IVECO,Daily,,chassis cab,diesel,automatic,2 door,RWD,,,,,,
1093,IVECO,Daily,,chassis cab,diesel,manual,2 door,RWD,,,,,,
1094,IVECO,Daily,,chassis cab,diesel,automatic,2 door,RWD,,,,,,
1095,IVECO,Daily,,panel van,diesel,manual,4 dr,RWD,,,,,,
1096,IVECO,Daily,Int,chassis cab,diesel,automatic,2 door,RWD,,,,,,
1097,IVECO,Daily,International,drop side,diesel,automatic,2 door,RWD,,,,,,
1098,IVECO,Daily,International,drop side,diesel,automatic,2 door,RWD,,,,,,
1099,IVECO,Daily,International,drop side,diesel,automatic,2 door,RWD,,,,,,
1100,IVECO,Daily,Inter,panel van,diesel,automatic,4 dr,RWD,,,,,,
1101,IVECO,Daily,Inter,panel van,diesel,automatic,4 dr,RWD,,,,,,
1102,IVECO,Daily,,chassis cab,diesel,automatic,2 door,RWD,,,,,,
1103,IVECO,Daily,,panel van,diesel,manual,4 dr,RWD,2.3,,,,,
1104,IVECO,Daily,Regional,drop side,diesel,automatic,4 dr,RWD,,,,,,
1105,IVECO,Daily,Regional,panel van,diesel,automatic,4 dr,RWD,,,,,,
1106,IVECO,Daily,Reg,panel van,diesel,automatic,4 dr,RWD,,,,,,
1107,IVECO,Daily,Regional,panel van,diesel,automatic,4 dr,RWD,,,,,,
1108,IVECO,Daily,Urban,chassis cab,diesel,automatic,2 door,RWD,,,,,,
1109,IVECO,Daily,Urban,drop side,diesel,automatic,4 dr,RWD,,,,,,
1110,IVECO,Daily,Urban,drop side,diesel,automatic,2 door,RWD,,,,,,
1111,IVECO,Daily,Urban,drop side,diesel,automatic,2 door,RWD,,,,,,
1112,IVECO,Daily,Urban,panel van,diesel,automatic,4 dr,RWD,,,,,,
1113,IVECO,Daily,Urban,panel van,diesel,automatic,4 dr,RWD,,,,,,
1114,IVECO,eDaily,,panel van,electric,automatic,4 dr,RWD,,BEV,,,,
1115,IVECO,eDaily,,panel van,electric,automatic,4 dr,RWD,,BEV,,,,
1116,IVECO,eDaily,,panel van,electric,automatic,4 dr,RWD,,BEV,,,,
1117,IVECO,eDaily,,panel van,electric,automatic,4 dr,RWD,,BEV,,,,
1118,,XCEED,,,,,,,1.6,,,,,
1119,JAGUAR,E-PACE,,sports utility vehicle,diesel,automatic,5 portes,AWD,2.0,MHEV,,,,D204
1120,JAGUAR,E-PACE,HSE,sports utility vehicle,diesel,automatic,5 portes,AWD,2.0,,,,,D240
1121,JAGUAR,E-PACE,R-DYNAMIC HSE BLACK,sports utility vehicle,electric,automatic,5 portes,AWD,1.5,PHEV,,,,P300E
1122,JAGUAR,E-PACE,R-DYNAMIC HSE,sports utility vehicle,unleaded,automatic,5 portes,AWD,2.0,MHEV,,,147KW,
1123,JAGUAR,E-PACE,R-DYNAMIC S,sports utility vehicle,diesel,manual,5 portes,AWD,,,,,110KW,
1124,JAGUAR,E-PACE,R-DYNAMIC S,sports utility vehicle,unleaded,automatic,5 portes,AWD,2.0,,,,221KW,
1125,JAGUAR,E-PACE,R-DYNAMIC SE,sports utility vehicle,D,automatic,5 portes,AWD,2.0,,,,177KW,
1126,JAGUAR,E-PACE,SE,sports utility vehicle,diesel,automatic,5 portes,AWD,2.0,MHEV,,,,D204
1127,JAGUAR,E-Pace,S,sports utility vehicle,unleaded,automatic,5 portes,AWD,,,,,184kW,
1128,JAGUAR,F-PACE,,sports utility vehicle,diesel,automatic,5 portes,AWD,2.0,MHEV,,,,D200
1129,JAGUAR,F-PACE,PORTFOLIO,sports utility vehicle,diesel,automatic,5 portes,AWD,,,,,132KW,
1130,JAGUAR,F-PACE,Prestige,sports utility vehicle,diesel,automatic,5 portes,RWD,,,,,,20d
1131,JAGUAR,F-PACE,PURE,sports utility vehicle,diesel,automatic,5 portes,AWD,,,,,,
1132,JAGUAR,F-PACE,PURE,sports utility vehicle,unleaded,automatic,5 portes,AWD,,,,,221KW,
1133,JAGUAR,F-PACE,R-DYNAMIC SE,sports utility vehicle,diesel,automatic,5 portes,AWD,3.0,MHEV,,,,D300
1134,JAGUAR,F-PACE,R-SPORT,sports utility vehicle,diesel,automatic,5 portes,AWD,,,,,,
1135,JAGUAR,F-PACE,S,sports utility vehicle,diesel,automatic,5 portes,AWD,,MHEV,,,,D200
1136,JAGUAR,F-PACE,STANDARD HSE,sports utility vehicle,unleaded,automatic,5 portes,AWD,,MHEV,,,294KW,
1137,JAGUAR,F-TYPE,CHEQUERED FLAG,coupe,unleaded,automatic,3 doors,AWD,3.0,,,,,
1138,JAGUAR,F-TYPE,R-DYNAMIC,cabriolet,unleaded,automatic,2 door,RWD,2.0,,,,,P300
1139,JAGUAR,F-TYPE,R-DYNAMIC,cabriolet,unleaded,automatic,2 door,RWD,5.0,,,,,P450
1140,JAGUAR,F-Type,CHEQUERED FLAG,coupe,unleaded,automatic,3 doors,RWD,3.0,,,,,
1141,JAGUAR,XE,HSE STANDARD,saloon,diesel,automatic,4 dr,AWD,,,,180PS,,
1142,JAGUAR,XE,Landmark Edition,saloon,Diesel,manual,4 dr,RWD,2.0,,,,132kW,
1143,JAGUAR,XE,LANDMARK EDITION,saloon,unleaded,automatic,4 dr,RWD,2.0I,,,,147KW,
1144,JAGUAR,XE,Landmark Edition,saloon,unleaded,automatic,4 dr,RWD,,,,200PS,,
1145,JAGUAR,XE,R-DYNAMIC BLACK,saloon,unleaded,automatic,4 dr,RWD,2.0,,,,,P250
1146,JAGUAR,XE,R-Dyn SE,saloon,diesel,automatic,4 dr,AWD,,MHEV,,,,
1147,JAGUAR,XE,R-Sport,saloon,Diesel,automatic,4 dr,AWD,2.0,,,,132kW,
1148,JAGUAR,XE,S,saloon,diesel,automatic,4 dr,RWD,,,,,,D180
1149,JAGUAR,XE,S,saloon,unleaded,automatic,4 dr,RWD,3.0,,,,280kW,
1150,JAGUAR,XE,SE R-DYNAMIC,saloon,unleaded,automatic,4 dr,AWD,2.0,,,300PS,,
1151,JAGUAR,XF,BUSINESS PRESTIGE,estate,unleaded,automatic,5 portes,RWD,2.0,,,250PS,,
1152,JAGUAR,XF,BUSINESS SPORT,saloon,diesel,manual,4 dr,RWD,2.0D,,,163PS,,
1153,JAGUAR,XF,Prestige,Sportbk,diesel,automatic,5 portes,AWD,,,,240ps,,
1154,JAGUAR,XF,PURE,saloon,unleaded,automatic,4 dr,AWD,2.0,,,,221KW,
1155,JAGUAR,XF,R-DYN S,saloon,diesel,automatic,4 dr,AWD,,MHEV,,,,D204
1156,JAGUAR,XF,S,Sportbrake,unleaded,automatic,5 portes,AWD,,,,,,P300
1157,JAGUAR,XJ,Premium Luxury,saloon,Diesel,automatic,4 dr,RWD,3.0,,,,,
1158,JEEP,Avenger,Summit,sports utility vehicle,electric,automatic,5 portes,FWD,,BEV,,,115KW,
1159,JEEP,CHEROKEE,TRAILHAWK,sports utility vehicle,T-GDI,automatic,5 portes,AWD,2.0,,,,,
1160,JEEP,GRAND CHEROKEE,LAREDO,sports utility vehicle,CRD,automatic,5 portes,AWD,3.0,,,,184KW,
1161,JEEP,GRAND CHEROKEE,SRT,sports utility vehicle,unleaded,automatic,5 portes,AWD,6.4,,,,,
1162,JEEP,Gladiator,FAROUT Final Edition,pick-up,MultiJet,automatic,4 dr,AWD,3.0,,,,,
1163,JEEP,Grand Cherokee,Summit Reserve,sports utility vehicle,electric,automatic,5 portes,AWD,2.0,PHEV,,,,
1164,JEEP,Grand Cherokee,Trailhawk,sports utility vehicle,electric,automatic,5 portes,AWD,2.0,PHEV,,380CV,,
1165,JEEP,RENEGADE,BROOKLYN EDITION,sports utility vehicle,MJET,manual,5 portes,FWD,1.6,,,,,
1166,JEEP,RENEGADE,BUSINESS,sports utility vehicle,GSE,automatic,5 portes,FWD,1.3,,,,,
1167,JEEP,RENEGADE,LIMITED,sports utility vehicle,diesel,manual,5 portes,FWD,1.6,,,120HP,,
1168,JEEP,RENEGADE,TRAILHAWK,sports utility vehicle,diesel,automatic,5 portes,AWD,2.0,,,170HP,,
1169,JEEP,RENEGADE,TRAILHAWK,sports utility vehicle,electric,automatic,5 portes,AWD,1.3,PHEV,,,177KW,
1170,JEEP,Wrangler,Rubicon,sports utility vehicle,unleaded,automatic,3 doors,AWD,2.0,,,272hp,,
1171,,TUCSON,,,,AT,,,,,,,,
1172,,JUKE,N-DESIGN,,,MT,,,,,,,,
1173,Jaguar,F-type,First Edition,Convertible,,Auto,2dr,,2.0,,,,,P300
1174,Jeep,Compass,Limited,,,MT,,FWD,1.3l,,,130PS,96 kW,
1175,KIA,CEED,ACTIVE,hatchback,CRDI,automatic,5 portes,FWD,1.6,,,,,
1176,KIA,CEED,BUSINESS CLASS,SW,CRDI,manual,5 portes,FWD,1.6,,,,85KW,
1177,KIA,CEED,BUSINESS CLASS,hatchback,MPI,manual,5 portes,FWD,1.4,,,,73KW,
1178,KIA,CEED,CONCEPT,hatchback,diesel,manual,5 portes,FWD,1.6,MHEV,,,100KW,
1179,KIA,CEED,GT LINE BUSINESS,hatchback,T-GDI,automatic,5 portes,FWD,1.5,,,,,
1180,KIA,CEED,GT LINE,hatchback,diesel,manual,5 portes,FWD,1.6,MHEV,,,100KW,
1181,KIA,CEED,GT-LINE,hatchback,CRDI,manual,5 portes,FWD,1.6,MHEV,,,100KW,
